rea_time,goResp,hitGoal,subject,session,block,trial,response_cat,sampleTimeMsGo_01,sampleTimeMsGo_02,sampleTimeMsGo_03,sampleTimeMsGo_04,sampleTimeMsGo_05,sampleTimeMsGo_06,samplePosDegAtt_01,samplePosDegAtt_02,samplePosDegAtt_03,samplePosDegAtt_04,samplePosDegAtt_05,samplePosDegAtt_06,sampleAccprobHit_01,sampleAccprobHit_02,sampleAccprobHit_03,sampleAccprobHit_04,sampleAccprobHit_05,sampleAccprobHit_06,sampleProbHit_01,sampleProbHit_02,sampleProbHit_03,sampleProbHit_04,sampleProbHit_05,sampleProbHit_06,answer
,0,1,o1,1,1,31,MISS,0,166,333,500,667,833,-2.042427384,-5.241177225,0.895223207,-3.321570116,-2.944890071,-2.381756177,0.744696577,0.574605089,1,1,1,1,0.744696577,0.344852847,0.888097099,0.584803736,0.631888741,0.702280478,0
0.41614692,1,1,o1,1,1,32,HIT,0,166,333,499,666,833,0.928033353,-0.640308014,2.375056413,-0.017085625,-0.42317509,4.801520916,0.883995831,1,1,1,1,1,0.883995831,0.919961498,0.703117948,0.997864297,0.947103114,0.399809886,1
0.50794024,1,0,o1,1,1,33,FALSE ALARM,0,166,333,500,666,833,1.931059218,6.285472287,4.908288428,8.32674724,5.843997273,6.118670986,0.758617598,0.470302244,0.470302244,0,0,0,0.758617598,0.214315964,0.386463947,0,0.269500341,0.235166127,0
,0,0,o1,1,1,34,CORRECT REJECTION,0,166,333,499,666,833,-5.019479041,-6.825110443,-5.990398055,-8.026765907,-2.755504182,-5.159039221,0.37256512,0.189670592,0.189670592,0,0,0,0.37256512,0.146861195,0.251200243,0,0.655561977,0.355120097,1
0.59135532,1,1,o1,1,1,36,HIT,0,166,333,500,666,833,0.057266947,-1.209939071,1.006228283,-5.501474882,1.224959434,-5.803393044,0.992841632,1,1,1,1,1,0.992841632,0.848757616,0.874221465,0.31231564,0.846880071,0.274575869,1
,0,0,o1,1,1,37,CORRECT REJECTION,0,166,333,499,666,832,6.085706129,4.622129985,6.23901951,2.79244739,7.352247036,2.399498954,0.239286734,0.292865627,0.275881249,0.386737319,0.188289314,0.212569548,0.239286734,0.422233752,0.220122561,0.650944076,0.08096912,0.700062631,1
,0,0,o1,1,1,38,CORRECT REJECTION,0,166,333,499,666,833,8.896939066,9.222263243,3.039741883,6.482870024,6.216531194,6.531964447,0,0,0,0,0,0,0,0,0.620032265,0.189641247,0.222933601,0.183504444,1
0.62415176,1,1,o1,1,1,39,HIT,0,166,333,500,666,833,-4.510291897,-3.589624715,-2.002246667,-4.980785861,1.29033284,-0.078155278,0.436213513,0.492943077,0.635421858,0.601262114,1,1,0.436213513,0.551296911,0.749719167,0.377401767,0.838708395,0.99023059,1
0.5915084,1,1,o1,1,1,40,HIT,0,167,334,501,667,834,0.040398592,-0.042998584,5.351555672,3.075178864,5.703339561,2.24427948,0.994950176,1,1,1,1,1,0.994950176,0.994625177,0.331055541,0.615602642,0.287082555,0.719465065,1
,0,0,o1,1,1,41,CORRECT REJECTION,0,166,333,499,666,833,3.587823803,5.073792649,3.928497045,5.087065522,9.311909457,5.871650725,0.551522025,0.449216051,0.449216051,0.448091492,0,0,0.551522025,0.365775919,0.508937869,0.36411681,0,0.266043659,1
,0,0,o1,1,1,42,CORRECT REJECTION,0,166,332,499,666,833,-7.882263269,-6.549825458,-2.751537794,-2.06053247,-5.997044139,-3.651111714,0.014717091,0.017658138,0.041033624,0.054050588,0.054050588,0.054050588,0.014717091,0.181271818,0.656057776,0.742433441,0.250369483,0.543611036,1
,0,0,o1,1,1,43,CORRECT REJECTION,0,166,332,499,666,832,5.847546075,2.791134162,8.785718655,7.257656494,7.029984237,9.300283632,0.269056741,0.43540317,0,0,0,0,0.269056741,0.65110823,0,0.092792938,0.12125197,0,1
0.46589316,1,1,o1,1,1,44,HIT,0,166,333,500,666,833,-2.092118626,-2.129095536,-1.184935759,-5.181724739,-4.072826585,1.06616382,0.738485172,0.737270808,0.832063125,0.704003673,0.704003673,1,0.738485172,0.733863058,0.85188303,0.352284408,0.490896677,0.866729523,1
0.51603216,1,1,o1,1,1,47,HIT,0,166,333,499,666,833,5.78717703,-0.203280355,4.496811609,-1.291925328,2.305573334,-0.701064256,0.276602871,1,1,1,1,1,0.276602871,0.974589956,0.437898549,0.838509334,0.711803333,0.912366968,1
0.55817788,1,0,o1,1,1,48,FALSE ALARM,1,167,334,500,667,834,2.389456007,9.169267492,6.915623025,8.417596627,8.59587239,4.652872091,0.701317999,0,0,0,0,0,0.701317999,0,0.135547122,0,0,0.418390989,0
,0,0,o1,1,1,49,CORRECT REJECTION,0,166,333,499,666,833,-6.65566294,-6.938486424,-7.643962716,-3.259470688,-3.850632328,-7.115920614,0.168042133,0.137552066,0.050777596,0.098475038,0.098475038,0.098475038,0.168042133,0.132689197,0.04450466,0.592566164,0.518670959,0.110509923,1
0.63313264,1,1,o1,1,1,50,HIT,0,166,333,500,666,833,4.613133493,0.653469008,0.437432868,2.08673456,1.73231049,2.126269938,0.423358313,0.838263677,0.885617514,0.885617514,0.885617514,0.885617514,0.423358313,0.918316374,0.945320891,0.73915818,0.783461189,0.734216258,1
0.69169896,1,1,o1,1,1,51,HIT,0,166,333,500,667,833,-1.727314439,2.438823881,5.631285441,2.799198435,-1.711642695,0.514617915,0.784085695,1,1,1,1,1,0.784085695,0.695147015,0.29608932,0.650100196,0.786044663,0.935672761,1
0.599636,1,1,o1,1,1,52,HIT,1,167,334,501,667,833,-0.581050752,-1.812710233,-1.101392272,-5.000797898,0.166359372,-0.35597691,0.927368656,0.914151667,0.914151667,0.837706783,1,1,0.927368656,0.773411221,0.862325966,0.374900263,0.979205079,0.955502886,1
,0,0,o1,1,1,53,CORRECT REJECTION,0,166,333,500,666,833,2.636062492,3.301543486,5.169927321,7.868419715,4.49199328,7.182837566,0.670492189,0.640595042,0.51774656,0.047542366,0.047542366,0.047542366,0.670492189,0.587307064,0.353759085,0.016447536,0.43850084,0.102145304,1
0.58261696,1,1,o1,1,1,54,HIT,1,166,333,500,666,833,-1.344140996,0.336099447,1.665935815,0.408384043,2.829691863,-0.872317774,0.831982376,1,1,1,1,1,0.831982376,0.957987569,0.791758023,0.948951995,0.646288517,0.890960278,1
,0,0,o1,1,1,56,CORRECT REJECTION,0,166,333,500,666,833,-6.235134305,-3.840926994,-5.09523343,-8.380241778,-4.253737556,-1.846586355,0.220608212,0.314828927,0.314828927,0,0,0,0.220608212,0.519884126,0.363095821,0,0.468282806,0.769176706,1
,0,0,o1,1,1,57,CORRECT REJECTION,0,167,334,500,667,833,-5.68114343,-8.289606782,-9.055658485,-6.06078905,-3.324848582,-3.958754274,0.289857071,0,0,0,0,0,0.289857071,0,0,0.242401369,0.584393927,0.505155716,1
,0,1,o1,1,1,58,MISS,1,167,334,500,667,834,4.829967911,-1.889036849,-1.820266675,0.234129126,1.999459947,0.755138299,0.396254011,1,1,1,1,1,0.396254011,0.763870394,0.772466666,0.970733859,0.750067507,0.905607713,0
0.5413932,1,1,o1,1,1,59,HIT,0,167,333,500,666,833,-0.304892675,0.919786151,5.451400271,5.127461924,-1.077766342,3.298445585,0.961888416,1,1,1,1,1,0.961888416,0.885026731,0.318574966,0.359067259,0.865279207,0.587694302,1
,0,0,o1,1,1,60,CORRECT REJECTION,0,167,333,499,666,833,-3.947465945,-6.228038938,-5.546219373,-2.757522103,-4.474498533,-2.591472278,0.506566757,0.309814438,0.309814438,0.391206016,0.391206016,0.406093304,0.506566757,0.221495133,0.306722578,0.655309737,0.440687683,0.676065965,1
,0,1,o1,1,1,61,MISS,0,167,333,500,667,833,-3.440045265,-5.692889182,1.640809606,-5.587181483,-1.589252868,-3.810520536,0.569994342,0.401435212,1,1,1,1,0.569994342,0.288388852,0.794898799,0.301602315,0.801343391,0.523684933,0
,0,0,o1,1,1,62,CORRECT REJECTION,0,167,334,500,667,834,-5.891983135,-5.033313366,-4.656770366,-6.357599986,-2.508299544,-6.776972384,0.263502108,0.295185462,0.311616137,0.26073275,0.395692338,0.327772817,0.263502108,0.370835829,0.417903704,0.205300002,0.686462557,0.152878452,1
0.52487576,1,0,o1,1,1,63,FALSE ALARM,1,167,334,501,667,833,4.058359671,5.689483831,5.752728077,6.524948259,3.666121235,3.041392942,0.492705041,0.362782417,0.35639125,0.266571854,0.286909573,0.326595773,0.492705041,0.288814521,0.28090899,0.184381468,0.541734846,0.619825882,0
,0,0,o1,1,1,64,CORRECT REJECTION,0,166,334,501,667,833,2.945554857,4.354923933,9.520127983,8.315816151,9.548998568,5.502613911,0.631805643,0.553069366,0,0,0,0,0.631805643,0.455634508,0,0,0,0.312173261,1
0.49166844,1,1,o1,1,1,65,HIT,0,167,334,500,667,834,-0.12568341,-0.656008815,-2.371422739,-0.8488992,-2.600460964,1.181464951,0.984289574,0.983174179,0.9781582,0.9781582,0.977252787,1,0.984289574,0.917998898,0.703572158,0.8938876,0.674942379,0.852316881,1
0.54950276,1,1,o1,1,1,66,HIT,0,166,333,499,666,833,-1.674732429,2.984580705,-1.775050486,2.826207292,-0.921858297,5.152549245,0.790658446,1,1,1,1,1,0.790658446,0.626927412,0.778118689,0.646724088,0.884767713,0.355931344,1
,0,0,o1,1,1,67,CORRECT REJECTION,0,166,333,500,667,833,9.823505902,4.633900158,5.729234616,2.524034866,8.619652325,3.408176293,0,0,0,0,0,0,0,0.42076248,0.283845673,0.684495642,0,0.573977963,1
0.45003032,1,1,o1,1,1,68,HIT,0,167,333,500,667,833,0.564109039,-0.105553135,5.555522217,4.919047877,1.477347221,5.043295384,0.92948637,1,1,1,1,1,0.92948637,0.986805858,0.305559723,0.385119015,0.815331597,0.369588077,1
0.52490096,1,1,o1,1,1,69,HIT,0,166,333,500,666,833,0.684855555,-0.042277436,6.057679454,4.948601475,2.487468381,-1.238038515,0.914393056,1,1,1,1,1,0.914393056,0.994715321,0.242790068,0.381424816,0.689066452,0.845245186,1
0.62469644,1,1,o1,1,1,70,HIT,0,167,334,500,667,833,-2.388001408,-0.002350596,-4.56650567,-0.998171954,-4.9888722,-0.43263394,0.701499824,0.999581323,0.999315861,0.999315861,0.999219972,0.999219972,0.701499824,0.999706175,0.429186791,0.875228506,0.376390975,0.945920757,1
0.4996646,1,1,o1,1,1,71,HIT,0,166,333,499,666,833,-0.330249196,1.799350708,0.154914008,-1.700388773,-4.914545404,-1.970272947,0.95871885,1,1,1,1,1,0.95871885,0.775081161,0.980635749,0.787451403,0.385681824,0.753715882,1
0.49980116,1,1,o1,1,1,72,HIT,0,167,334,500,667,833,1.122321912,1.729197471,3.984107851,4.839705819,3.369557613,4.358814187,0.859709761,0.848193829,0.781573539,0.737935438,0.737935438,0.737935438,0.859709761,0.783850316,0.501986519,0.395036773,0.578805298,0.455148227,1
0.48310588,1,1,o1,1,1,73,HIT,0,166,333,500,666,833,2.17476266,0.964146633,2.004869211,1.272839572,1.114131635,2.020079716,0.728154668,0.85799203,0.85799203,0.85799203,0.85799203,0.85799203,0.728154668,0.879481671,0.749391349,0.840895053,0.860733546,0.747490035,1
0.62487836,1,1,o1,1,1,74,HIT,0,167,334,500,667,833,-3.019370049,-5.743107265,-5.386925723,0.59000837,-2.160006527,-4.634965276,0.622578744,0.427744566,0.427744566,1,1,1,0.622578744,0.282111592,0.326634285,0.926248954,0.729999184,0.42062934,1
0.59978312,1,1,o1,1,1,75,HIT,0,166,333,500,666,833,-5.646150293,-2.245781665,-1.838214169,-4.942881164,-0.16672382,-5.353330728,0.294231213,0.511747468,0.561501393,0.561501393,0.933854808,0.933854808,0.294231213,0.719277292,0.770223229,0.382139854,0.979159522,0.330833659,1
,0,0,o1,1,1,76,CORRECT REJECTION,0,166,333,500,667,833,8.963480295,2.792945376,8.845372362,7.853286459,4.540083601,6.802635104,0,0,0,0,0,0,0,0.650881828,0,0.018339193,0.43248955,0.149670612,1
,0,1,o1,1,1,77,MISS,0,166,333,500,666,833,-3.425946502,-4.585130978,-1.648205789,-3.691809316,-5.960716244,-5.020089579,0.571756687,0.499190339,0.674465448,0.674465448,0.553027671,0.553027671,0.571756687,0.426858628,0.793974276,0.538523835,0.254910469,0.372488803,0
,0,0,o1,1,1,78,CORRECT REJECTION,0,166,333,499,666,833,3.258523726,8.57111964,2.742276097,8.127659868,1.824737671,9.692137201,0.592684534,0,0,0,0,0,0.592684534,0,0.657215488,0,0.771907791,0,1
,0,0,o1,1,1,79,CORRECT REJECTION,1,167,333,500,667,833,-3.045854938,-4.736655137,-5.545173751,-3.835391672,-2.185639577,-5.649806586,0.619268133,0.517235936,0.446276773,0.446276773,0.529004273,0.518139318,0.619268133,0.407918108,0.306853281,0.520576041,0.726795053,0.293774177,1
,0,0,o1,1,1,80,CORRECT REJECTION,0,166,334,500,667,833,9.605067209,5.637349516,7.370070845,4.128600967,4.045935562,9.09230197,0,0,0,0,0,0,0,0.295331311,0.078741144,0.483924879,0.494258055,0,1
,0,0,o1,1,1,81,CORRECT REJECTION,0,167,334,501,668,834,-4.041181853,-4.834264267,-4.670520494,-5.885259343,-3.68277231,-8.790905404,0.494852268,0.439263485,0.439263485,0.343529447,0.36476687,0,0.494852268,0.395716967,0.416184938,0.264342582,0.539653461,0,1
0.52491152,1,1,o1,1,1,82,HIT,0,166,333,500,666,833,4.147738877,-1.268717878,1.817420677,4.253231643,5.482377365,0.94434691,0.48153264,1,1,1,1,1,0.48153264,0.841410265,0.772822415,0.468346045,0.314702829,0.881956636,1
,0,1,o1,1,1,83,MISS,0,166,333,500,667,833,-5.615650081,-4.741834625,-2.790388117,-0.436993885,-3.342232138,-2.992384425,0.29804374,0.334589976,0.46076727,0.845111438,0.845111438,0.845111438,0.29804374,0.407270672,0.651201485,0.945375764,0.582220983,0.625951947,0
0.52472648,1,0,o1,1,1,84,FALSE ALARM,0,166,333,500,666,833,-4.182129131,-8.244948729,-9.665159943,-8.950449197,-7.682190097,-9.55058131,0.477233859,0,0,0,0,0,0.477233859,0,0,0,0.039726238,0,0
,0,1,o1,1,1,85,MISS,0,167,334,500,666,833,1.047653998,-3.5861448,1.901060238,-4.613695683,1.783790301,-5.418857638,0.86904325,1,1,1,1,1,0.86904325,0.5517319,0.76236747,0.42328804,0.777026212,0.322642795,0
0.51664056,1,0,o1,1,1,86,FALSE ALARM,0,166,333,500,666,833,-8.125469912,-6.202553845,-2.327157616,-7.138712719,-2.948529393,-4.138345223,0,0,0,0,0,0,0,0.224680769,0.709105298,0.10766091,0.631433826,0.482706847,0
,0,1,o1,1,1,87,MISS,0,167,333,500,667,834,-0.565259803,-5.293787866,0.835866413,-5.490571007,0.622668377,-5.325642636,0.929342525,0.827215451,1,1,1,1,0.929342525,0.338276517,0.895516698,0.313678624,0.922166453,0.33429467,0
,0,0,o1,1,1,88,CORRECT REJECTION,0,166,333,500,666,833,3.876035481,8.232594471,7.637899371,2.32531322,9.195128849,2.182987864,0.515495565,0,0,0,0,0,0.515495565,0,0.045262579,0.709335848,0,0.727126517,1
,0,0,o1,1,1,89,CORRECT REJECTION,0,167,334,500,666,833,-6.29458084,-4.452991689,-3.784898695,-8.044350258,-4.430438862,-7.24484515,0.213177395,0.276925201,0.310623029,0,0,0,0.213177395,0.443376039,0.526887663,0,0.446195142,0.094394356,1
0.57450728,1,1,o1,1,1,90,HIT,0,167,333,500,667,833,2.315392137,-1.41306892,-0.533308757,2.029068152,-1.755449995,-0.964187388,0.710575983,1,1,1,1,1,0.710575983,0.823366385,0.933336405,0.746366481,0.780568751,0.879476577,1
,0,0,o1,1,1,91,CORRECT REJECTION,1,167,334,500,667,834,9.176216367,7.841699996,3.24081249,6.202201253,8.782444236,2.581567419,0,0,0,0,0,0,0,0.0197875,0.594898439,0.224724843,0,0.677304073,1
